PanjivaRecordID,ConsigneePanjivaID,HSCode,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
8873471,834,1933,2545,2986,3579
8896831,448,2273,2973,2986,3492
8906815,83,2044,2567,2985,3055
8850879,628,1968,2680,2985,3672
8850751,1771,1956,2434,2988,3804
8850559,1188,1897,2545,2989,3804
8850367,1285,2163,2789,2988,3749
8850239,1815,1844,2847,2988,3538
8850111,1354,2313,2495,2983,3067
8850943,668,2006,2440,2988,3208
8851007,552,2051,2756,2988,3992
8851199,916,2025,2756,2985,3310
8851583,884,2204,2806,2985,3146
8851711,1087,2216,2326,2988,3146
8851775,433,2216,2807,2985,3938
8851903,1055,2216,2326,2988,3101
8852351,282,1934,2681,2985,3393
8851967,1087,2138,2326,2988,3146
8852095,884,1945,2807,2985,3146
8852223,269,2238,2631,2985,3718
8852479,1294,2279,2689,2985,3815
8852607,1153,2226,2340,2985,3860
8852799,421,2235,2624,2985,3146
8852863,1635,2216,2329,2985,3146
8852927,500,2231,2394,2985,3146
8888447,74,2044,2681,2985,3744
8853183,759,2197,2918,2985,3614
8853311,1748,2273,2552,2988,3547
8853439,100,1929,2860,2985,3014
8853503,1345,2169,2646,2993,3544
8853567,100,1933,2860,2985,3014
8853631,1594,2168,2981,2988,3533
8853759,663,2169,2756,2994,3909
8853887,1533,1860,2346,2988,3492
8853951,131,2091,2844,2994,3481
8854079,1222,2062,2844,2985,3459
8854143,1533,2273,2346,2988,3492
8854399,950,1933,2860,2986,3014
8854655,950,1929,2860,2986,3014
8854719,841,2062,2870,2985,3817
8854847,270,2263,2875,2985,3032
8854911,379,2273,2385,2986,3492
8855103,664,2273,2385,2988,3471
8855231,1607,1919,2339,2988,3787
8855295,824,2158,2875,2986,3207
8855359,379,2273,2552,2988,3492
8855487,391,2273,2928,2986,3492
8855551,1489,2179,2746,2983,3496
8855743,672,2273,2385,2988,3547
8856063,768,2062,2681,2985,3611
8856255,1248,2062,2465,2985,3481
8856319,1175,2051,2406,2985,3427
8856383,1132,2114,2406,2985,3574
8856447,1685,2240,2779,2983,3130
8856511,1721,2240,2844,2983,3130
8856575,52,2044,2790,2985,3007
8856639,1156,2044,2796,2985,3771
8856767,534,2051,2844,2985,3981
8856831,1185,2076,2844,2991,3543
8856895,547,2267,2663,2988,3818
8856959,1565,2067,2555,2985,3614
8857151,131,2153,2844,2994,3481
8857215,131,2070,2844,2994,3481
8857343,1517,2044,2395,2991,3294
8857407,1507,1969,2374,2991,3848
8857471,1281,2044,2496,2985,3450
8857535,1641,2044,2881,2991,3277
8857599,1464,2044,2751,2985,3662
8857663,1199,2068,2844,2985,3777
8857791,1550,2044,2968,2991,3072
8857855,588,2044,2401,2985,3491
8857919,502,2044,2699,2985,3298
8858111,152,2044,2470,2985,3244
8858175,1017,2109,2844,2988,3020
8858239,588,2044,2693,2985,3491
8858303,1549,2109,2844,2988,3020
8858367,462,2257,2844,2988,3152
8858431,1222,2095,2844,2985,3459
8858495,1620,2110,2846,2985,3935
8858559,928,2320,2844,2988,3014
8858687,1786,2053,2844,2985,3673
8858815,131,2049,2844,2994,3481
8858879,534,2076,2844,2985,3981
8859007,131,2058,2844,2994,3481
8859199,1786,2055,2844,2985,3242
8859327,822,2322,2844,2988,3591
8859391,711,1844,2548,2986,3036
8859583,940,1832,2635,2985,3726
8859647,63,2168,2929,2994,3226
8859775,440,1929,2848,2985,3014
8859903,1453,2172,2635,2991,3833
8860031,440,1930,2848,2985,3014
8860159,798,1929,2870,2985,3014
8860223,860,1928,2870,2988,3591
8860287,144,1929,2870,2985,3014
8860415,798,1929,2870,2988,3014
8860479,144,1929,2870,2988,3014
8888511,1404,2044,2681,2985,2995
8860607,144,1930,2870,2988,3014
8860671,465,1864,2870,2985,3042
8860799,144,1928,2870,2985,3014
8860863,1791,1917,2839,2988,3200
8860991,110,2046,2870,2985,3122
