PanjivaRecordID,ConsigneePanjivaID,HSCode,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
9270399001001,896,282,300,8,678
9209023001001,1087,143,591,5,151
9213119001001,248,234,558,8,486
9213887001001,1120,216,629,2,8
9218175001001,442,101,300,1,158
9224831001001,1507,16,50,4,853
9239871001001,207,226,357,5,78
9256255001001,539,130,134,2,371
9207679001001,141,46,357,4,860
9207423001001,467,26,213,5,62
9207103001001,721,485,171,4,72
9208063001001,1564,89,300,7,24
9208127001001,853,352,300,3,878
9208511001001,1304,238,613,5,151
9208575001001,756,7,378,2,151
9208703001001,884,151,314,2,151
9208767001001,884,425,166,2,151
9208959001001,884,376,451,6,151
9209215001001,845,79,281,7,47
9209279001001,1087,42,2,5,151
9209855001001,421,309,300,3,151
9209599001001,710,164,218,2,47
9209983001001,611,438,520,5,543
9210047001001,1785,448,423,5,543
9210111001001,696,195,276,2,696
9210239001001,100,117,536,2,19
9210303001001,100,100,536,4,19
9210367001001,513,494,536,11,40
9210431001001,950,101,531,3,19
9210495001001,1665,372,537,2,686
9210559001001,1352,116,322,10,549
9210815001001,1665,21,599,3,118
9210879001001,1802,436,230,2,67
9210943001001,1348,16,75,3,543
9211071001001,1355,341,288,11,231
9211135001001,488,284,230,5,753
9211199001001,787,329,283,3,543
9211391001001,1222,234,520,10,464
9211455001001,1526,262,561,4,371
9211775001001,1236,125,576,5,75
9212415001001,372,53,617,3,552
9212479001001,636,4,604,3,468
9213055001001,1663,262,70,2,464
9213375001001,54,216,604,8,299
9213631001001,45,216,4,2,261
9213823001001,502,216,478,9,966
9213951001001,1517,216,617,0,467
9214335001001,41,364,162,8,854
9214527001001,534,101,520,2,986
9214591001001,1558,403,181,5,25
9214655001001,147,223,106,2,80
9214783001001,462,340,520,5,157
9214847001001,1682,140,172,5,17
9214911001001,1713,480,245,2,432
9214975001001,131,240,520,0,486
9215039001001,691,224,330,8,699
9215103001001,131,242,509,11,486
9215231001001,534,228,520,9,986
9215295001001,1713,290,520,2,432
9215423001001,518,143,520,2,586
9215487001001,1222,366,520,2,464
9215551001001,490,395,520,2,141
9215615001001,416,409,520,2,678
9215679001001,524,257,236,10,263
9215807001001,167,159,523,10,986
9243071001001,715,100,328,10,893
9215935001001,1744,338,523,10,78
9215999001001,920,140,300,8,17
9216063001001,1744,141,523,2,78
9216127001001,537,225,300,4,927
9216255001001,720,216,347,2,455
9216383001001,1097,434,91,5,1002
9216447001001,780,34,546,11,113
9216639001001,928,235,520,5,19
9216703001001,1482,344,520,5,38
9216767001001,545,459,300,3,596
9217023001001,144,43,546,2,19
9217087001001,711,24,320,3,41
9217151001001,492,24,38,6,26
9217215001001,1796,331,36,2,33
9217279001001,711,354,224,3,41
9217407001001,456,494,523,4,113
9217535001001,440,342,524,2,19
9217599001001,440,101,523,4,19
9217727001001,394,112,224,2,105
9217791001001,1453,344,311,0,838
9217919001001,940,463,234,2,283
9218047001001,1234,101,519,10,19
9218111001001,638,16,585,3,41
9218431001001,583,79,300,6,47
9218687001001,1234,104,380,3,19
9218815001001,144,100,546,1,19
9218367001001,895,16,608,8,543
9219007001001,397,79,471,5,47
9219135001001,1287,222,300,2,460
9219519001001,144,101,546,4,19
9219711001001,465,220,546,2,47
9219839001001,1326,341,605,11,231
9220031001001,435,143,457,3,917
9220095001001,912,212,542,2,687
9220351001001,831,259,543,8,597
9220415001001,913,164,542,5,17
9220543001001,614,238,482,1,811
9220671001001,643,239,546,3,164
9221375001001,110,216,546,9,340
9221503001001,974,216,378,4,132
9221759001001,707,338,579,5,78
9221887001001,1156,97,472,2,776
9222015001001,917,140,573,5,17
9222079001001,389,157,82,5,158
9222143001001,1730,141,490,5,17
9222207001001,1132,157,82,2,579
9222527001001,691,259,520,8,699
9222655001001,1050,216,369,3,437
9222783001001,1325,216,110,2,326
9222911001001,1726,16,546,3,543
9223039001001,406,109,291,3,120
9223359001001,1779,65,520,5,970
9223551001001,465,81,481,2,47
9223615001001,1714,30,615,5,41
9223807001001,1219,415,615,2,19
9224191001001,129,81,130,3,937
9224319001001,1450,445,604,2,938
9224383001001,611,16,84,5,543
9224511001001,636,4,640,2,847
9224575001001,396,79,266,0,211
9224639001001,928,101,454,2,19
9224703001001,48,121,520,0,214
9224895001001,822,463,520,5,596
9224959001001,822,54,520,5,596
9225023001001,128,180,604,5,136
9225087001001,128,12,95,5,136
9225279001001,822,213,520,5,596
9225343001001,1661,79,417,2,47
9225535001001,928,298,520,2,19
9225663001001,928,102,346,5,19
9225727001001,1779,129,520,5,970
9225855001001,522,248,507,2,986
9225983001001,1746,458,654,5,25
9226175001001,53,227,221,3,627
9226239001001,455,442,482,6,412
9226367001001,1182,325,482,5,194
9226431001001,942,374,221,8,705
9226495001001,641,488,482,2,229
9226559001001,387,141,138,8,917
9226815001001,990,223,496,6,927
9243135001001,1188,128,645,6,809
9227007001001,681,460,482,9,849
9227071001001,750,395,221,0,779
9227263001001,873,216,221,8,628
9227391001001,1465,230,306,6,107
9227839001001,1682,86,473,5,17
9227711001001,1248,240,141,10,486
9227967001001,395,140,253,5,17
9228031001001,376,378,542,4,961
9228095001001,1713,224,522,10,432
9228223001001,994,282,280,11,25
9228287001001,1504,231,221,2,947
9228351001001,870,282,454,5,70
9228415001001,910,227,543,3,986
9228479001001,1031,137,520,4,187
9228543001001,1146,260,542,3,113
9228607001001,506,100,220,2,19
9228735001001,911,16,543,4,41
9228863001001,506,231,543,2,19
9229247001001,1710,136,542,0,970
9229311001001,1034,100,274,3,196
9229375001001,909,225,543,5,809
9229503001001,535,134,537,5,263
9229631001001,837,137,476,3,69
9229695001001,870,416,280,3,41
