PanjivaRecordID,ConsigneePanjivaID,HSCode,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
8873471,834,105,221,3,584
8896831,448,445,649,3,497
8906815,83,216,243,2,60
8850879,628,140,356,2,677
8850751,1771,128,110,5,809
8850559,1188,69,221,6,809
8850367,1285,335,465,5,754
8850239,1815,16,523,5,543
8850111,1354,485,171,0,72
8850943,668,178,116,5,213
8851007,552,223,432,5,997
8851199,916,197,432,2,315
8851583,884,376,482,2,151
8851711,1087,388,2,5,151
8851775,433,388,483,2,943
8851903,1055,388,2,5,106
8852351,282,106,357,2,398
8851967,1087,310,2,5,151
8852031,1087,310,2,5,151
8852095,884,117,483,2,151
8852159,1087,310,2,5,151
8852223,269,410,307,2,723
8852479,1294,451,365,2,820
8852607,1153,398,16,2,865
8852799,421,407,300,2,151
8852863,1635,388,5,2,151
8852927,500,403,70,2,151
8888447,74,216,357,2,749
8853183,759,369,594,2,619
8853311,1748,445,228,5,552
8853439,100,101,536,2,19
8853503,1345,341,322,10,549
8853567,100,105,536,2,19
8853631,1594,340,657,5,538
8853759,663,341,432,11,914
8853887,1533,32,22,5,497
8853951,131,263,520,11,486
8854079,1222,234,520,2,464
8854143,1533,445,22,5,497
8854399,950,105,536,3,19
8854655,950,101,536,3,19
8854719,841,234,546,2,822
8854847,270,435,551,2,37
8854911,379,445,61,3,497
8855103,664,445,61,5,476
8855231,1607,91,15,5,792
8855295,824,330,551,3,212
8855359,379,445,228,5,497
8855423,664,445,61,5,476
8855487,391,445,604,3,497
8855551,1489,351,422,0,501
8855743,672,445,61,5,552
8856063,768,234,357,2,616
8856255,1248,234,141,2,486
8856319,1175,223,82,2,432
8856383,1132,286,82,2,579
8856447,1685,412,455,0,135
8856511,1721,412,520,0,135
8856575,52,216,466,2,12
8856639,1156,216,472,2,776
8856767,534,223,520,2,986
8856831,1185,248,520,8,548
8856895,547,439,339,5,823
8856959,1565,239,231,2,619
8857151,131,325,520,11,486
8857215,131,242,520,11,486
8857343,1517,216,71,8,299
8857407,1507,141,50,8,853
8857471,1281,216,172,2,455
8857535,1641,216,557,8,282
8857599,1464,216,427,2,667
8857663,1199,240,520,2,782
8857727,1281,216,172,2,455
8857791,1550,216,644,8,77
8857855,588,216,77,2,496
8857919,502,216,375,2,303
8858111,152,216,146,2,249
8858175,1017,281,520,5,25
8858239,588,216,369,2,496
8858303,1549,281,520,5,25
8858367,462,429,520,5,157
8858431,1222,267,520,2,464
8858495,1620,282,522,2,940
8858559,928,492,520,5,19
8858687,1786,225,520,2,678
8858815,131,221,520,11,486
8858879,534,248,520,2,986
8859007,131,230,520,11,486
8859071,1721,412,520,0,135
8859135,131,242,520,11,486
8859199,1786,227,520,2,247
8859327,822,494,520,5,596
8859391,711,16,224,3,41
8859583,940,4,311,2,731
8859647,63,340,605,11,231
8859775,440,101,524,2,19
8859903,1453,344,311,8,838
8859967,440,101,524,2,19
8860031,440,102,524,2,19
8860095,440,102,524,2,19
8860159,798,101,546,2,19
8860223,860,100,546,5,596
8860287,144,101,546,2,19
8860351,144,101,546,2,19
8860415,798,101,546,5,19
8860479,144,101,546,5,19
8888511,1404,216,357,2,0
8860543,440,101,524,2,19
8860607,144,102,546,5,19
8860671,465,36,546,2,47
8860735,144,101,546,2,19
8860799,144,100,546,2,19
8860863,1791,89,515,5,205
8860927,440,101,524,2,19
8860991,110,218,546,2,127
8861055,440,101,524,2,19
8861183,1195,16,546,5,543
8861247,1796,331,36,5,33
8861311,144,101,546,5,19
8861439,144,105,546,5,19
8861567,440,101,524,2,19
8861631,440,101,524,2,19
8861695,144,101,546,2,19
8861759,144,101,546,2,19
8861823,711,16,224,3,41
8861887,144,101,546,5,19
8861951,144,101,546,5,19
8862015,1298,79,523,5,772
8862079,860,105,546,5,596
8862143,440,101,523,5,19
8862207,798,100,546,5,19
8862271,780,494,546,11,113
8862335,1195,16,546,5,543
8862399,1538,351,196,2,807
8862463,1355,341,605,11,231
8862527,1729,223,512,2,371
8862975,376,439,542,3,961
8863039,994,281,280,5,25
8863103,435,141,543,3,917
8863295,506,159,543,2,19
8863359,506,492,543,3,19
8863423,836,229,543,2,811
8863551,1799,178,542,3,46
8863615,563,223,543,2,277
8863871,851,403,543,2,673
8863935,1504,231,543,2,947
8862719,1650,354,12,6,328
8862847,131,223,520,11,486
8864255,615,140,482,6,733
8864383,793,358,221,3,328
8862911,376,143,542,3,961
8864447,1729,223,512,2,371
8864703,922,216,504,2,341
8865151,1471,159,90,2,369
8865407,1729,229,512,2,371
8865471,129,81,130,2,937
8865599,1812,306,78,0,982
8865791,1219,101,618,2,19
8865855,611,16,520,5,543
8865919,1483,16,82,5,118
8865983,1219,100,615,2,19
8866047,928,100,520,2,19
8866303,865,445,604,5,938
8866367,611,16,520,5,543
8866495,515,351,604,2,741
8866559,1165,188,82,2,145
8866687,1779,136,520,5,970
8866751,1779,136,520,5,970
8866815,1219,100,618,2,19
8866943,1558,123,520,5,103
8867007,928,102,520,5,19
8867135,1779,136,520,5,970
8867199,1507,21,50,8,853
8867263,1507,27,50,8,853
8867327,1443,445,72,3,497
8867391,685,318,520,5,641
8867455,48,121,520,5,214
8867519,1271,79,6,4,654
8867647,611,16,520,5,543
8867711,928,101,520,5,19
8867775,928,101,520,5,19
8867903,822,101,520,5,596
8867967,928,101,520,2,19
8868031,928,101,520,2,19
8868095,928,101,520,2,19
8868159,1779,174,520,5,970
8868223,96,206,520,2,986
8868287,300,216,357,8,899
8868415,749,242,532,2,398
8868479,587,140,532,5,17
8868607,235,402,446,8,281
8868671,337,216,357,8,61
8868735,1376,239,175,2,464
8868799,634,140,482,6,19
8868991,562,240,482,2,432
8869311,308,259,349,2,519
8869439,929,250,482,6,768
8869567,454,380,221,3,963
8869631,503,412,221,0,135
8869759,503,412,221,0,135
8869823,614,240,482,2,811
8869887,503,412,221,0,135
8869951,929,238,482,6,620
8870015,1465,229,482,6,107
8870207,634,140,482,6,19
8870399,503,412,221,0,135
8870463,1598,459,318,6,370
8870527,1598,376,318,6,370
8870591,1196,439,484,6,95
8870655,520,178,482,6,220
8870719,520,227,482,2,678
8870783,873,241,221,3,720
8870847,634,140,482,6,194
8870975,634,101,482,6,19
8871039,1703,79,221,3,772
8871103,855,79,482,6,575
8871167,520,127,482,6,158
8871231,670,123,221,5,103
8871295,519,27,535,6,529
8871359,520,101,482,6,158
8871487,520,73,482,6,158
8871551,520,101,482,6,158
8871615,520,99,482,2,624
8871743,506,105,543,3,19
8871807,1737,206,520,0,71
8871935,131,174,520,11,486
8872191,1799,131,542,3,46
8872255,911,24,543,3,41
8872639,1590,349,642,0,374
8872703,520,101,482,6,158
8872767,634,371,482,2,19
8872895,634,101,482,2,19
8872959,1146,494,542,3,113
8873023,1146,494,542,3,113
8873087,23,137,543,3,86
8873151,834,106,221,3,584
8873215,506,101,543,2,19
