PanjivaRecordID,Carrier,ConsigneePanjivaID,GoodsShipped,PortOfUnlading,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
117687,23,351,1711,2060,2415,2540,3054
117751,23,879,1674,2060,2326,2501,3059
117943,23,368,1688,1846,2252,2501,2839
118007,23,879,1768,2060,2171,2501,3059
118071,16,1430,1674,2060,2402,2514,2932
118775,20,1440,1698,1874,2210,2501,2659
118839,8,73,1674,2035,2254,2501,2795
118903,23,72,1682,2014,2356,2501,2915
118967,8,73,1674,2035,2254,2501,2836
119479,23,1413,1688,2056,2462,2494,2617
119543,10,1392,1680,1908,2245,2531,2629
119607,12,1141,1688,1904,2241,2494,2866
119671,18,326,1682,1940,2359,2501,2806
119927,15,577,1701,2073,2416,2501,3196
119991,15,1649,1682,2028,2223,2501,2895
120055,15,1538,1674,1937,2275,2501,3059
120119,15,710,1769,1807,2136,2501,2691
120183,15,836,1674,2032,2374,2501,2826
120887,13,659,1674,2058,2430,2501,2964
121207,17,1404,1674,2035,2254,2514,2784
121271,17,1404,1674,2035,2254,2514,3012
121399,8,73,1674,2035,2254,2501,3109
121463,23,368,1688,1810,2252,2501,3141
121591,10,442,1672,1810,2348,2501,2715
121655,10,904,1735,2007,2188,2529,2878
121719,18,1132,1682,2077,2420,2501,2915
121847,10,1314,1688,1904,2241,2494,2866
121911,18,1623,1698,2077,2420,2501,2705
121975,16,178,1675,2056,2292,2514,2657
122039,15,897,1674,1937,2275,2501,2650
122103,15,510,1674,2058,2430,2514,2605
122487,23,373,1680,2007,2348,2531,2629
122999,22,926,1674,2058,2430,2501,2708
123191,0,355,1711,2060,2415,2511,2835
123959,2,633,1674,2058,2430,2534,2908
124023,10,533,1680,1807,2136,2531,2777
124087,10,440,1674,2056,2399,2501,2721
124215,8,73,1674,1870,2204,2514,2876
124279,8,73,1674,2035,2254,2501,3029
124855,18,1014,1680,2096,2446,2531,2629
124919,18,1320,1682,2096,2278,2494,2730
124983,14,851,1674,1974,2446,2501,2925
125239,15,911,1674,1869,2201,2501,2863
125303,15,99,1682,2028,2223,2501,2806
