PanjivaRecordID,Carrier,ConsigneePanjivaID,GoodsShipped,PortOfUnlading,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
257081001001,7,170,110,269,28,20,285
257529001001,14,962,34,279,17,20,444
257593001001,18,901,20,141,345,20,419
257785001001,24,33,84,92,208,20,113
259257001001,20,1128,28,214,224,53,616
259321001001,8,890,110,92,94,35,129
259513001001,6,999,20,12,9,20,615
259577001001,11,1361,81,293,308,48,371
259641001001,23,1495,18,26,332,35,198
259705001001,23,811,34,102,106,63,72
261881001001,11,209,34,60,94,20,97
262713001001,14,584,42,24,202,11,286
262777001001,14,1115,110,24,114,16,407
262841001001,14,410,115,24,221,29,272
262969001001,12,1106,34,21,74,20,406
263033001001,10,1585,110,180,189,32,524
263929001001,15,577,29,181,103,13,552
263993001001,15,899,81,155,289,20,225
264057001001,15,120,18,93,102,35,141
264121001001,4,627,81,278,289,20,225
264185001001,15,882,20,190,200,45,152
264249001001,20,697,42,212,221,1,193
264313001001,15,466,34,212,221,40,406
264377001001,3,1436,115,12,9,53,124
264441001001,15,484,20,263,303,36,615
264889001001,11,12,15,48,49,14,33
266361001001,2,1369,20,263,303,5,443
258041001001,3,1106,100,121,126,7,461
258169001001,23,1589,9,51,199,20,47
258297001001,23,861,20,233,18,16,470
258489001001,1,1273,20,198,337,20,229
258617001001,1,1382,115,212,129,20,272
258745001001,1,108,34,212,221,17,67
258809001001,13,584,42,92,94,0,286
258873001001,1,375,110,109,73,37,311
258937001001,1,345,34,212,221,26,67
259001001001,13,697,61,289,304,45,87
259065001001,1,272,34,238,221,13,67
259193001001,13,1172,34,159,20,20,541
260473001001,23,1080,34,43,114,20,406
260537001001,3,539,58,219,229,20,93
260601001001,18,288,34,109,114,24,475
260793001001,6,376,114,75,178,50,413
262265001001,13,912,20,285,8,33,439
262393001001,6,1550,20,0,14,20,514
262457001001,13,985,20,197,207,51,353
262521001001,13,633,20,263,35,20,588
262585001001,13,290,20,36,38,30,105
264697001001,20,460,18,42,44,20,524
264953001001,4,1550,20,0,14,33,439
265017001001,13,1070,20,330,351,25,503
265145001001,20,763,101,80,304,57,572
265785001001,2,1294,58,301,319,20,93
266169001001,17,1378,20,323,127,33,100
266425001001,20,958,20,113,118,2,377
266553001001,17,1378,20,240,153,53,414
266617001001,17,1378,20,240,127,58,373
266681001001,17,1378,115,176,241,20,396
266745001001,3,1378,20,240,127,53,620
257209001001,7,834,114,11,275,57,572
257273001001,23,839,20,265,199,45,554
257337001001,23,1297,20,6,275,39,340
257401001001,8,47,20,104,100,10,330
257657001001,10,1510,20,328,319,18,94
257721001001,2,1521,42,71,281,20,87
257913001001,15,579,28,254,10,20,350
257977001001,10,706,21,261,24,20,145
259769001001,10,372,62,48,49,22,13
259897001001,10,1326,34,157,62,41,362
260025001001,8,47,20,104,77,44,330
260089001001,8,47,115,240,127,38,35
260153001001,23,480,20,21,21,59,484
260217001001,8,317,44,225,234,21,221
260281001001,23,1235,28,9,10,41,261
260409001001,10,154,118,309,190,50,3
261049001001,14,1279,34,96,178,20,200
261113001001,14,264,44,24,23,30,221
261177001001,14,1281,26,24,164,50,84
261369001001,23,329,57,265,62,59,497
261433001001,23,22,20,265,275,14,522
261753001001,15,388,115,79,83,20,496
262009001001,23,329,57,277,63,30,165
262073001001,23,837,44,246,336,20,525
262137001001,23,325,57,202,288,59,386
262201001001,10,308,20,265,44,30,265
263097001001,24,254,34,74,74,13,321
263161001001,10,111,20,282,293,57,108
263225001001,16,1157,34,170,178,33,519
263353001001,25,35,44,250,259,20,160
263545001001,17,1326,34,157,165,41,362
263609001001,10,1082,81,205,150,13,548
263673001001,15,488,20,36,38,8,409
263737001001,20,766,20,263,303,20,615
263801001001,10,917,20,12,261,20,426
264633001001,13,75,81,248,125,20,225
264825001001,24,1448,26,289,304,50,84
265209001001,12,1105,21,38,164,13,643
265273001001,10,738,34,170,11,20,596
265337001001,6,1396,20,170,178,20,105
265465001001,21,220,42,282,202,20,87
265593001001,21,1560,115,212,221,29,166
257528001001,16,962,34,279,290,33,179
257592001001,5,109,20,74,74,20,318
257784001001,24,204,84,92,149,20,113
259256001001,13,199,20,309,261,33,237
259448001001,15,73,28,233,96,44,303
259512001001,15,342,34,15,125,59,596
259576001001,10,1111,81,100,112,26,225
259640001001,23,939,110,66,335,35,198
261880001001,11,1238,82,92,247,50,531
262776001001,14,1080,34,24,114,21,406
262840001001,5,439,58,24,229,20,93
263928001001,15,1335,18,93,95,57,141
264120001001,15,870,108,247,255,4,243
264248001001,15,342,34,15,233,20,294
266360001001,14,607,20,263,303,20,443
258040001001,3,643,34,240,114,20,53
258104001001,7,661,44,98,124,20,553
258168001001,23,166,126,17,267,50,51
258232001001,23,1584,110,278,316,35,532
258488001001,1,215,84,128,221,20,400
258616001001,1,103,115,198,202,20,166
258680001001,13,928,110,209,100,35,532
258744001001,1,1080,34,198,114,33,499
258872001001,1,1095,34,271,283,52,362
258936001001,1,557,34,212,330,20,540
259128001001,4,288,34,109,114,13,321
260472001001,23,212,34,109,299,13,143
260536001001,3,1426,20,170,178,20,615
262264001001,13,912,20,272,296,33,432
262328001001,13,747,115,5,5,41,166
262520001001,25,604,20,263,303,20,318
264952001001,13,610,34,5,45,20,406
265016001001,13,1171,20,330,351,19,163
265144001001,20,763,114,80,82,52,572
265784001001,7,1263,46,65,226,20,557
266168001001,6,1378,20,240,127,33,127
266424001001,20,742,20,113,122,33,219
266616001001,17,1378,20,132,127,33,358
266744001001,17,1554,20,273,108,20,326
257208001001,7,178,76,227,275,50,212
257272001001,23,834,114,265,184,20,154
257336001001,23,653,114,17,275,20,99
257400001001,12,47,20,104,100,33,575
257912001001,15,385,28,9,10,19,133
257976001001,10,1322,29,261,169,20,613
259896001001,10,332,34,157,136,13,72
260088001001,8,47,20,240,127,28,331
260152001001,23,1277,20,269,175,20,298
260280001001,23,1489,20,113,118,55,108
261048001001,14,1248,34,127,138,53,487
261176001001,14,609,115,172,221,20,146
261432001001,23,283,20,265,189,33,383
261752001001,20,822,114,113,321,57,572
261944001001,10,928,110,129,135,48,192
262136001001,25,325,57,277,288,50,510
263096001001,12,148,28,229,237,48,449
263160001001,12,286,110,109,295,35,563
263224001001,4,1505,110,303,321,35,532
263288001001,18,1114,34,257,114,13,321
263352001001,13,35,44,282,293,20,160
263672001001,15,1447,20,211,9,39,305
263800001001,10,558,21,301,165,33,598
264568001001,13,923,20,129,21,20,148
264632001001,13,285,42,71,281,39,25
264760001001,13,1192,34,136,142,48,143
264824001001,21,75,81,233,96,20,225
265272001001,10,1102,18,165,249,35,198
265592001001,21,751,115,212,221,4,166
257583001001,14,59,83,191,25,57,501
257775001001,24,76,42,92,43,1,193
259311001001,13,1070,20,330,215,20,189
259439001001,15,1191,81,35,38,20,225
259567001001,10,690,34,157,165,0,321
259631001001,23,1036,42,261,291,20,151
259695001001,23,1165,110,280,335,35,532
262703001001,14,103,115,24,37,20,166
262767001001,14,643,34,24,134,20,517
262831001001,14,466,34,176,178,20,406
263023001001,10,14,20,265,123,20,353
263983001001,15,955,20,300,247,20,361
264047001001,15,1504,20,149,243,20,495
264495001001,10,1101,34,295,9,13,143
264879001001,11,980,80,175,49,20,252
257263001001,3,607,20,263,303,20,427
258095001001,7,681,98,216,226,4,651
258159001001,23,1238,82,25,352,50,43
258223001001,23,939,110,316,213,20,524
258543001001,6,1627,16,24,23,50,220
258607001001,1,1015,20,162,151,33,377
258735001001,1,209,110,92,94,45,612
258863001001,13,42,16,20,20,44,220
258927001001,1,1396,20,271,283,35,105
259055001001,1,1080,34,109,114,42,519
260463001001,12,1294,28,145,151,20,261
260527001001,20,864,26,244,253,50,232
261039001001,3,1174,42,212,221,20,286
262255001001,14,1390,20,0,14,20,514
262383001001,13,1353,34,316,335,30,72
262447001001,13,449,20,330,351,18,148
262511001001,13,753,20,263,7,33,329
262639001001,5,1055,106,317,336,20,1
264559001001,20,525,114,79,83,51,572
264687001001,10,1467,42,42,205,50,369
264943001001,13,882,20,190,200,32,533
265007001001,13,1345,21,218,183,46,223
266415001001,20,632,20,261,30,33,237
266607001001,17,1378,20,240,264,33,329
266671001001,17,1075,44,104,313,33,127
266735001001,17,1378,20,63,103,33,467
266799001001,20,290,20,113,118,61,237
257071001001,10,18,114,150,275,50,413
257199001001,7,834,114,265,275,29,413
257327001001,11,465,20,265,275,20,302
257391001001,17,998,123,113,175,50,574
257647001001,12,988,26,301,158,50,84
257711001001,7,1200,11,41,114,20,4
257903001001,15,874,18,84,165,35,141
257967001001,3,701,18,164,172,35,198
258351001001,13,1605,85,203,212,21,626
258415001001,7,129,126,41,43,50,52
259887001001,10,941,31,113,1,20,79
260079001001,9,47,20,104,77,20,564
260143001001,8,47,20,240,127,44,189
260207001001,23,265,44,48,328,20,525
260271001001,9,729,20,144,150,20,484
261103001001,14,616,34,217,206,20,97
261167001001,14,773,34,37,114,20,524
261423001001,23,326,57,265,97,50,246
261551001001,10,1093,42,157,108,50,296
261743001001,25,1119,20,21,21,33,237
261807001001,21,815,20,285,296,33,445
261935001001,19,1144,114,265,275,50,413
261999001001,23,329,57,277,288,47,88
262063001001,23,732,114,265,114,20,99
262127001001,23,325,57,277,288,26,481
263151001001,11,133,26,301,319,50,441
263279001001,18,1443,20,282,277,20,148
263343001001,18,1216,34,109,287,20,524
263471001001,15,488,20,36,38,0,250
263535001001,15,1223,20,144,286,20,427
263663001001,15,1159,20,228,303,20,189
263791001001,15,1499,44,12,206,20,631
264623001001,13,582,20,113,118,30,409
264815001001,13,539,26,97,304,50,84
265199001001,12,263,81,270,293,20,225
265263001001,10,288,34,109,114,54,321
265327001001,11,125,26,328,349,50,232
265391001001,12,257,61,238,248,20,98
265455001001,21,209,110,191,7,25,324
265519001001,21,1579,83,284,202,50,300
265583001001,21,93,20,15,125,7,56
265647001001,21,1519,20,257,221,20,35
266223001001,20,499,20,80,82,63,424
257162001001,7,681,47,82,286,20,651
257482001001,19,1342,34,109,114,13,143
257738001001,0,475,94,286,297,50,292
259274001001,13,910,20,296,203,20,514
259466001001,15,1249,126,315,4,52,308
259530001001,15,906,20,36,38,38,124
259658001001,23,95,46,15,125,37,557
259722001001,23,1238,82,15,149,50,531
260938001001,23,834,20,265,275,40,154
261002001001,23,1072,114,265,275,37,99
261898001001,24,307,115,191,202,35,35
262794001001,20,1290,34,24,114,20,524
262922001001,14,1198,34,86,114,20,156
263946001001,15,395,20,49,148,53,620
