PanjivaRecordID,Carrier,ConsigneePanjivaID,GoodsShipped,PortOfUnlading,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
117687,23,325,57,265,288,59,509
117751,23,853,20,265,199,20,514
117943,23,342,34,51,125,20,294
118007,23,853,114,265,44,20,514
118071,16,1404,20,265,275,33,387
118775,20,1414,44,79,83,20,114
118839,8,47,20,240,127,20,250
118903,23,46,28,219,229,20,370
118967,8,47,20,240,127,20,291
119479,23,1387,34,261,335,13,72
119543,10,1366,26,113,118,50,84
119607,12,1115,34,109,114,13,321
119671,18,300,28,145,232,20,261
119927,15,551,47,278,289,20,651
119991,15,1623,28,233,96,20,350
120055,15,1512,20,142,148,20,514
120119,15,684,115,12,9,20,146
120183,15,810,20,237,247,20,281
120887,13,633,20,263,303,20,419
121207,17,1378,20,240,127,33,239
121271,17,1378,20,240,127,33,467
121399,8,47,20,240,127,20,564
121463,23,342,34,15,125,20,596
121527,10,1366,26,113,118,50,84
121591,10,416,18,15,221,20,170
121655,10,878,81,212,61,48,333
121719,18,1106,28,282,293,20,370
121847,10,1288,34,109,114,13,321
121911,18,1597,44,282,293,20,160
121975,16,152,21,261,165,33,112
122039,15,871,20,142,148,20,105
122103,15,484,20,263,303,33,60
122487,23,347,26,212,221,50,84
122999,22,900,20,263,303,20,163
123191,0,329,57,265,288,30,290
123959,2,607,20,263,303,53,363
124023,10,507,26,12,9,50,232
124087,10,414,20,261,272,20,176
124215,8,47,20,75,77,33,331
124279,8,47,20,240,127,20,484
124855,18,988,26,301,319,50,84
124919,18,1294,28,301,151,13,185
124983,14,825,20,179,319,20,380
125239,15,885,20,74,74,20,318
125303,15,73,28,233,96,20,261
125559,15,1101,34,12,9,20,475
125623,15,1445,20,235,243,53,533
125687,16,706,42,261,272,20,145
126775,21,862,110,191,202,35,586
126839,21,114,83,212,221,20,211
127159,2,420,20,263,303,20,443
127287,17,1378,20,240,127,20,326
127351,17,1378,20,240,127,20,373
127415,17,1378,20,240,127,53,620
117815,7,375,34,109,114,20,406
118327,15,810,20,237,247,20,281
123767,13,554,34,102,106,13,321
123831,13,826,20,193,203,33,358
125751,24,1371,19,92,94,11,136
126327,14,848,20,24,319,20,380
126391,14,1476,57,24,221,42,505
126519,14,629,21,24,177,33,112
127031,20,139,20,113,118,20,209
127095,17,1554,20,16,108,53,620
118199,13,260,16,143,149,50,220
118455,1,722,83,71,281,50,384
118519,1,825,20,145,151,16,424
118583,1,346,20,271,283,20,403
119159,14,1114,34,179,114,20,475
119223,10,375,34,109,114,13,143
119735,6,245,34,192,178,13,321
120311,3,1257,34,109,114,13,321
120375,25,901,20,324,345,20,318
120439,13,546,20,296,314,20,152
120503,13,572,20,131,137,20,615
120567,13,747,115,5,5,20,166
120631,13,1528,20,131,137,53,533
120695,13,1053,20,21,21,20,148
120759,13,613,98,261,272,20,651
120823,13,1273,20,318,337,20,163
121335,17,1554,20,16,108,20,414
122167,23,1144,20,274,285,20,154
122231,16,1425,57,277,288,42,493
122807,25,643,34,109,114,20,475
122871,3,1114,34,109,114,20,475
122935,9,1173,44,216,226,20,486
