PanjivaRecordID,Carrier,ConsigneePanjivaID,HSCode,PortOfLading,PortOfUnlading,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
123650811,395,1976,2818,3676,3834,3955,3974,4448
123598267,394,1042,2884,3575,3827,3932,4016,5312
124067579,114,1940,3460,3772,3790,3862,4008,5766
123745275,233,733,3117,3591,3816,3934,3995,5144
123612923,81,1399,3059,3658,3833,3954,3997,4622
123213883,86,1326,3185,3731,3804,3898,3964,5036
123255803,233,1978,3186,3658,3795,3841,3997,4794
123740347,188,2539,3185,3755,3834,3955,3969,4656
123633787,233,2617,3185,3692,3795,3874,3969,4948
123451387,114,960,3460,3767,3834,3852,4003,5355
123356219,350,1257,2785,3723,3801,3884,3975,4421
123304251,76,559,3501,3752,3790,3862,3975,5246
123362107,403,938,3051,3752,3789,3856,3975,4310
123219387,88,864,3513,3779,3816,3944,3975,6081
123215547,88,813,3501,3752,3816,3944,3975,6101
123235899,188,1021,3513,3704,3835,3962,3975,6104
123279163,359,1255,3319,3630,3823,3927,3975,4060
123353147,293,1298,3519,3779,3833,3954,3975,5743
123309435,88,1644,3357,3752,3795,3874,3975,4586
123249595,233,2588,3354,3755,3795,3874,3975,5871
123558651,144,1022,3401,3752,3816,3920,3975,5176
123468219,188,1466,3460,3752,3814,3917,3975,5441
123867707,131,1954,3513,3752,3834,3955,3975,4561
123911931,251,2336,3509,3752,3834,3851,3975,4386
123593339,350,1342,2785,3591,3789,3856,3975,4421
123567739,194,1764,3328,3752,3814,3940,3975,5343
123608059,25,2463,3380,3779,3834,3955,3975,4556
123392891,233,2758,3518,3704,3795,3874,3975,4399
124200635,188,1452,3407,3752,3814,3917,3975,5169
124131835,61,2175,2885,3768,3814,3917,3975,6131
123545147,88,1152,3234,3602,3802,3894,3975,4337
123532347,15,2282,3067,3704,3789,3856,3975,5806
123450491,114,1007,3529,3752,3834,3955,3975,6063
123467835,188,1452,3407,3752,3795,3874,3975,5169
123701755,88,1675,3067,3629,3814,3917,3975,4137
123756731,233,720,3417,3591,3834,3955,3975,4996
123314747,114,1015,3431,3752,3790,3862,3975,5932
123365307,462,1615,3501,3704,3814,3917,3975,6104
123250939,233,1685,3186,3752,3816,3920,3975,4541
123247163,215,1407,3504,3752,3795,3874,3975,4600
123206267,40,2370,3051,3755,3789,3940,3975,4310
123270715,285,2019,3359,3752,3789,3856,3975,5343
123300219,40,2370,3051,3712,3789,3856,3975,5458
123247675,215,1068,3452,3768,3795,3874,3975,4489
123426683,25,695,3513,3752,3834,3955,3975,4399
123451515,115,1172,3439,3654,3823,3864,3975,4429
123450811,114,776,3401,3752,3814,3895,3975,5096
123555195,131,1854,3501,3654,3792,3866,3975,6101
123751035,188,1308,3440,3779,3814,3876,3975,4569
123716731,88,959,3379,3779,3814,3917,3975,6096
123753979,254,712,3294,3778,3834,3955,3975,5082
123736251,94,2562,3067,3752,3789,3856,3975,5138
123709435,289,1140,3504,3752,3834,3952,3975,5105
123723259,182,559,3501,3591,3823,3927,3975,5246
123674171,94,2666,3067,3779,3834,3955,3975,5648
123786811,159,1498,3289,3779,3823,3864,3975,5396
123523323,428,1784,3059,3591,3834,3955,3975,4426
123435067,46,729,3407,3752,3834,3850,3975,5771
123435643,50,2440,3286,3704,3795,3874,3975,5610
123456251,132,2364,3068,3768,3789,3856,3975,4535
123962811,470,2031,3067,3752,3814,3881,3975,6055
123635131,250,1559,3076,3654,3792,3866,3975,4590
123657659,403,2440,3286,3755,3795,3874,3975,5610
123578939,251,2336,3509,3752,3834,3949,3975,4386
123555515,131,1021,3513,3704,3833,3954,3975,6104
124070331,132,2364,3067,3768,3789,3856,3975,4535
123756091,188,2338,3521,3779,3834,3955,3975,4908
123579579,254,712,3523,3778,3814,3917,3975,5082
123690555,470,2746,3463,3752,3789,3856,3975,5989
124057659,81,1725,3363,3752,3826,3931,3975,5740
123814907,329,1732,3265,3613,3797,3878,3975,4171
123842107,46,2577,3418,3779,3816,3920,3975,5269
123989435,131,1615,3513,3704,3833,3954,3975,6104
123845947,76,559,3501,3752,3795,3874,3975,5246
124016891,254,2752,3460,3591,3814,3849,3975,5110
123871099,142,1668,3349,3752,3795,3878,3975,4614
123645243,293,1298,3519,3755,3833,3954,3975,5743
123947771,378,559,3501,3752,3795,3874,3975,5246
123957755,454,1790,3501,3752,3814,3917,3975,5521
124134331,25,956,3514,3778,3834,3955,3975,4560
124078907,188,1493,3239,3591,3821,3925,3975,5400
123703483,79,712,3242,3630,3814,3917,3975,5082
123688507,131,1470,3460,3704,3789,3856,3975,5030
123775995,88,1685,3186,3752,3816,3920,3975,4541
123783547,131,691,3460,3704,3833,3855,3975,4428
123863227,116,2215,3358,3752,3834,3955,3975,5324
124146235,79,559,3501,3752,3834,3955,3975,5246
123849083,81,850,3076,3752,3789,3856,3975,4276
124026491,282,1702,3076,3752,3834,3955,3975,4354
123902011,233,1559,3501,3752,3814,3862,3975,4061
124123387,233,2666,3067,3591,3833,3954,3975,5648
124101691,289,1140,3059,3752,3834,3952,3975,5105
123991675,137,2257,3404,3665,3814,3864,3975,6061
124159099,470,2255,3208,3779,3834,3955,3975,5000
123454779,131,2139,3108,3704,3834,3955,3975,6068
123544763,88,712,3241,3629,3814,3917,3975,5082
124186171,94,1450,3343,3591,3789,3940,3975,5994
123748155,368,1119,3067,3591,3834,3919,3975,5323
123744699,325,1078,3467,3591,3821,3925,3975,5448
123618043,114,776,3401,3752,3814,3895,3975,5438
123448059,94,949,3399,3752,3789,3856,3975,4329
123554939,131,1187,3244,3768,3816,3920,3975,4889
123932795,289,2159,3460,3752,3834,3955,3975,5902
124238523,411,760,3067,3768,3814,3917,3975,4535
124147003,378,2245,3460,3752,3834,3955,3975,4428
124174779,40,2370,3051,3591,3834,3955,3975,4310
124116731,473,712,3241,3778,3789,3856,3975,5082
124125691,131,1973,3504,3768,3834,3955,3975,4482
124056571,79,1009,3422,3752,3814,3917,3975,6000
124181883,88,1986,3521,3779,3814,3917,3975,4364
123936443,318,1064,3363,3752,3834,3955,3975,6102
124180603,81,721,3504,3614,3834,3955,3975,4344
124122043,76,1584,3518,3752,3789,3856,3975,6076
124145723,25,2758,3205,3768,3834,3955,3975,4864
124235323,368,1377,3067,3768,3814,3917,3975,4841
124189755,116,2215,3277,3752,3826,3931,3975,4454
124080827,189,2758,3519,3704,3834,3955,3975,4536
124145083,226,1979,3358,3704,3834,3955,3975,5795
124148155,233,2191,3430,3591,3814,3917,3975,5871
124104955,325,921,3359,3752,3834,3915,3975,5696
124062779,88,1452,3360,3752,3834,3955,3975,5169
123992635,144,2309,3478,3752,3833,3954,3975,4539
124030203,289,1685,3173,3752,3816,3920,3975,4319
123397563,233,2625,3185,3692,3795,3874,3969,4825
123901819,233,1168,3186,3779,3834,3955,4043,5658
123710011,341,1176,3072,3665,3834,3890,4035,4139
123706299,81,1814,3352,3637,3795,3903,4033,5133
123861819,114,2385,3418,3591,3834,3901,4030,5487
123735867,434,2669,3460,3752,3789,3940,3975,5692
123678971,25,2587,3287,3591,3834,3952,4003,5160
123848443,81,1814,3352,3637,3795,3903,4034,4922
123199291,0,1956,3132,3723,3795,3874,4019,5566
124240891,441,999,3444,3665,3834,3852,4035,5996
123520571,394,1042,3034,3727,3793,3872,3994,5394
123323259,182,1685,3169,3775,3816,3920,3972,4413
123745083,376,1933,3411,3708,3823,3864,4003,4763
123957243,444,1273,3460,3754,3834,3864,4003,4902
123203387,25,720,3403,3591,3834,3901,3975,4996
123215675,88,1584,3501,3779,3789,3856,3975,6076
123268475,282,2253,3213,3768,3834,3952,3975,5143
123329467,189,2758,3513,3752,3816,3920,3975,4548
123312955,94,835,3011,3768,3801,3884,3975,5817
123237755,188,2463,3380,3779,3826,3931,3975,4613
123541307,79,1009,3422,3779,3814,3917,3975,5269
123507195,289,1672,3095,3779,3814,3917,3975,4589
123577851,250,1582,3521,3779,3789,3856,3975,4356
123595387,368,2354,3501,3752,3785,3839,3975,4893
123464187,182,2746,3480,3591,3789,3856,3975,5348
123467899,188,1142,3328,3752,3795,3874,3975,6097
123690875,94,1584,3223,3778,3795,3874,3975,5817
123378555,94,2184,3514,3564,3814,3917,3975,6076
123545467,88,2657,3245,3770,3795,3874,4031,5507
123512059,347,2250,3034,3542,3834,3955,3994,5465
123742523,233,2610,3338,3779,3834,3955,3975,5307
123601531,438,584,3412,3752,3835,3962,3975,4988
123572859,233,1308,3440,3752,3814,3876,3975,5900
123583995,254,2758,3056,3779,3785,3839,3975,5291
123732091,40,2370,3051,3712,3789,3940,3975,4310
123771963,63,1314,3248,3752,3834,3944,3975,4427
123700795,191,581,3460,3768,3814,3885,3975,4428
123784187,131,2758,3509,3753,3834,3955,3975,4064
123752635,454,1790,3499,3779,3814,3917,3975,4293
123819451,378,1821,3248,3752,3834,3955,3975,4427
123833211,25,1149,3504,3752,3834,3955,3975,4164
123867259,131,1439,3059,3752,3823,3927,3975,5179
123935419,313,1196,3354,3752,3834,3955,3975,6008
123906811,234,1415,3125,3752,3814,3876,3975,4946
123965947,473,1352,3460,3591,3795,3874,4030,5153
123901371,233,843,3209,3778,3834,3915,3975,4391
123903611,233,736,3350,3768,3789,3856,3975,4204
124037115,367,2250,2816,3728,3802,3894,3994,4848
124091899,250,1410,3169,3775,3834,3955,4043,5326
124232955,347,2250,2865,3728,3797,3878,4016,5604
124120059,21,866,3507,3704,3826,3931,3975,5319
124067707,114,1172,3403,3654,3834,3901,3975,4974
124089275,234,1415,3125,3752,3814,3917,3975,4946
124010811,233,1685,3173,3779,3816,3920,3975,4597
124005563,215,1584,3504,3704,3814,3917,3975,6076
124027707,285,584,3050,3752,3821,3850,3975,4988
124234171,359,1697,3067,3768,3823,3927,3975,4841
124244411,473,641,3460,3771,3823,3927,4041,5376
124229691,290,2366,3311,3752,3789,3856,3975,5126
124228283,289,1685,3179,3768,3816,3920,3975,5597
124158587,470,1978,3195,3752,3823,3927,3975,5131
123981307,88,1889,3328,3704,3821,3925,3975,4409
124228219,289,1048,3098,3779,3795,3874,3975,5000
124193403,134,637,3175,3752,3814,3917,3975,5006
124129787,88,2758,3513,3768,3834,3864,3975,4864
124233019,347,2250,2865,3542,3834,3955,3973,5414
124121275,46,931,3415,3586,3795,3874,3988,5296
124142395,80,584,3072,3704,3834,3955,3975,4988
