PanjivaRecordID,Carrier,ConsigneePanjivaID,HSCode,PortOfLading,PortOfUnlading,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
125023615001002,331,418,604,60,51,107,32,268
124607167001002,97,2024,411,151,12,40,6,1769
125304767001002,184,2195,684,211,6,30,12,1647
125236543001002,233,1100,410,181,28,38,11,1345
124571199001002,431,604,691,50,31,26,47,1486
125377791001002,143,2143,411,151,49,20,6,1547
124420735001002,191,978,584,211,51,119,41,1124
124504831001002,290,1415,745,238,38,14,12,480
125236607001002,140,1100,410,181,12,117,51,1276
124416575001002,258,2163,604,211,51,119,2,1777
124424831001002,305,1904,563,163,2,115,12,1411
124566783001002,296,1916,291,227,31,81,5,399
124676607001002,241,302,625,238,49,81,12,929
124754495001002,368,1709,291,79,9,68,12,2022
124547455001002,292,85,725,211,19,108,12,1201
124562751001002,208,903,291,112,18,48,12,796
124530175001002,309,2257,518,211,38,79,49,1962
124677759001002,125,1904,563,233,31,66,12,1411
124504959001002,446,1388,607,211,48,89,12,1124
124751423001002,359,2240,543,89,26,59,12,15
124610239001002,318,590,587,211,30,53,12,2057
124330239001002,300,978,631,211,0,119,12,1124
124675711001002,114,335,753,211,4,67,12,2018
124334335001002,22,164,684,227,25,28,12,1800
124365247001002,76,85,725,211,8,97,12,1201
124413375001002,176,1606,316,211,31,11,12,1526
124413439001002,46,255,631,211,51,34,20,1726
124391167001002,282,1489,281,211,9,77,81,1474
124560127001002,469,1390,725,64,40,91,12,1828
124248319001002,397,482,738,237,33,84,79,515
124247295001002,235,2284,725,23,6,75,12,19
124257791001002,88,677,291,63,51,119,68,2046
124768767001002,470,535,646,188,40,91,3,525
124580223001002,123,1106,728,72,24,20,52,1175
124783167001002,79,535,646,211,28,68,12,1955
124428159001002,373,1141,737,163,28,84,12,2059
124481407001002,154,74,733,216,31,11,12,1530
124298943001002,289,1211,392,211,22,111,12,274
124472447001002,368,73,737,214,43,23,62,1911
124811519001002,330,301,283,211,11,37,56,509
124268543001002,188,1864,729,238,51,124,24,863
124277375001002,330,1685,684,189,31,81,12,1857
124423743001002,114,302,625,23,51,95,12,1051
124677503001002,123,672,316,237,44,54,3,1401
124965311001002,315,978,604,50,31,8,12,1194
124694655001002,188,978,631,211,24,93,12,1124
124411903001002,313,1896,275,148,6,8,12,265
124691711001002,182,943,299,238,40,51,58,542
124709759001002,232,1005,405,61,17,38,12,1582
124731007001002,256,1989,604,238,51,119,47,511
124507583001002,94,103,336,157,41,81,2,1669
125173311001002,94,448,747,215,31,81,13,1063
124534463001002,98,164,684,227,31,11,73,1800
124790015001002,428,978,578,204,6,20,12,1124
124943871001002,114,1548,275,112,2,3,54,389
124795263001002,305,541,655,211,7,26,55,1887
124572735001002,232,1005,283,214,15,77,12,1582
124612287001002,259,1685,684,32,51,119,12,1857
125156607001002,80,565,690,92,51,44,12,985
124475327001002,401,2185,291,177,51,11,77,399
124875711001002,182,2283,686,197,51,35,12,484
125076287001002,203,1890,291,234,19,58,12,490
124656511001002,52,927,337,227,31,124,14,1384
124505023001002,88,501,737,238,30,81,56,2036
124746879001002,318,590,587,211,11,103,12,2057
124943935001002,88,887,663,136,51,119,12,482
124542847001002,251,1862,733,211,42,101,12,341
124434175001002,188,1005,283,211,31,47,66,1582
124741823001002,191,1211,302,227,51,88,12,911
125022207001002,322,303,341,113,41,54,77,2047
124956607001002,171,742,725,143,7,74,12,518
124743167001002,314,1210,398,147,31,81,12,542
124320767001002,94,1499,728,58,51,119,28,437
124310399001002,462,547,725,168,31,81,45,2059
125005503001002,254,1228,300,211,12,42,70,899
124419711001002,88,2284,322,241,25,119,12,354
124428607001002,284,1252,725,211,23,28,12,1012
124759743001002,411,1074,725,185,22,81,12,2039
125148991001002,163,1408,725,128,40,91,12,1201
125157759001002,87,952,743,75,51,119,12,194
124707327001002,119,164,684,227,12,38,39,1800
125299135001002,300,286,291,34,9,30,12,490
124726015001002,254,715,472,227,42,114,12,1970
125076415001002,409,1701,109,227,12,124,12,2086
125075903001002,116,1741,501,211,43,99,35,409
125095551001002,251,1290,631,117,31,81,12,1298
124806143001002,394,435,247,174,50,118,12,1062
125158719001002,222,1251,587,191,40,28,12,1695
125339583001002,230,978,424,211,12,109,12,1124
125358335001002,141,588,291,211,51,113,22,1299
125177663001002,114,887,663,23,2,33,12,482
124847999001002,470,2272,687,52,50,20,12,1944
124635711001002,110,1404,309,2,38,80,12,557
124695295001002,188,992,684,215,31,81,29,1396
124619839001002,79,85,725,51,15,119,12,1201
124974655001002,194,85,725,211,51,88,81,1201
124928319001002,76,85,725,211,7,110,15,1201
124959743001002,359,85,725,50,40,50,12,1201
125081151001002,414,1124,291,211,20,91,12,484
124895871001002,285,2233,686,211,47,117,12,1558
125058495001002,46,1290,684,174,51,11,23,1298
125263615001002,276,981,631,113,24,95,12,951
125023231001002,325,447,583,240,31,73,12,1651
125309567001002,463,677,291,154,24,77,12,2046
125299327001002,364,2233,686,211,51,68,12,1558
125172799001002,193,586,747,238,33,68,12,1063
125150911001002,55,1197,684,211,15,82,12,569
125166975001002,57,1970,424,3,19,58,12,493
125167039001002,88,1065,176,163,10,75,12,1437
125150271001002,244,1647,275,227,33,106,12,1163
125405823001002,117,286,291,79,43,95,12,490
125298239001002,329,1966,510,44,43,95,12,1565
125328447001002,55,1651,291,45,34,104,12,2064
125273215001002,289,535,385,211,39,111,12,1955
125461439001002,463,85,725,211,19,28,12,1201
125341503001002,94,586,747,200,31,67,12,1063
124784639001002,82,594,676,36,51,43,12,444
125451199001002,254,2284,453,45,45,42,60,846
125112639001002,289,934,283,29,6,109,12,532
124952575001002,72,471,296,211,43,53,12,2011
125260671001002,254,85,725,167,49,81,12,1201
125087039001002,455,1211,412,211,33,57,12,496
124981503001002,232,1005,283,50,51,105,7,1582
125390207001002,285,1290,684,112,25,89,12,1298
124821951001002,233,2068,415,195,6,4,6,1867
125377151001002,233,2068,408,151,6,105,2,1867
124449919001002,80,2104,411,151,50,80,6,1014
125225215001002,224,991,641,113,9,122,32,1707
124343231001002,352,2071,341,113,51,28,75,297
124712319001002,150,694,410,95,51,119,80,1613
124819775001002,178,2162,430,145,43,95,13,868
124922815001002,46,295,573,91,30,118,25,1096
124992127001002,250,1863,682,144,50,24,40,666
125285823001002,183,1056,364,50,33,84,69,1802
125273279001002,270,1597,397,238,41,45,12,542
124922879001002,259,295,634,45,32,118,25,1096
124741247001002,454,1597,397,238,33,45,12,542
125130623001002,3,644,518,206,43,4,70,1609
125310207001002,466,799,257,226,10,97,40,857
124815167001002,215,1410,511,113,40,111,13,1732
124758655001002,397,1867,511,124,29,12,72,310
125007295001002,263,913,377,163,40,41,67,1334
125261695001002,257,296,341,113,41,38,8,1507
125358527001002,182,1211,280,211,28,43,12,496
125044031001002,179,963,692,213,40,91,13,717
124675839001002,376,1911,684,50,34,65,67,1442
124706047001002,212,1270,643,226,51,3,38,1904
125129983001002,56,1482,230,182,12,33,56,1562
124588863001002,370,415,573,145,14,4,16,833
124633279001002,153,2114,663,233,31,81,70,940
124659967001002,367,1717,654,139,31,81,12,1350
124353663001002,454,1650,413,211,14,54,12,2052
124356991001002,473,167,684,149,40,121,78,1331
124314815001002,25,1989,604,238,18,95,42,568
124256383001002,354,2286,581,50,51,12,12,923
124355199001002,470,1504,412,211,50,15,12,845
124574463001002,435,1703,553,211,25,119,12,231
124284799001002,351,1085,737,238,9,75,12,248
124578687001002,153,51,1,150,21,42,2,1783
124427711001002,168,1783,593,140,47,28,12,2016
124445887001002,323,1452,725,162,31,26,12,1978
124528255001002,460,1202,128,50,36,11,67,973
124409279001002,25,2284,281,238,45,102,12,1246
124375551001002,35,1666,300,201,51,119,12,1086
124706751001002,215,933,725,211,12,60,8,1693
124309503001002,142,593,725,240,51,119,12,2092
124561919001002,324,179,24,233,19,58,31,414
124319935001002,94,452,672,211,31,9,3,924
124284607001002,251,2284,742,163,30,84,12,354
124380607001002,134,1411,118,48,24,106,1,2075
124317567001002,63,1563,47,211,23,37,25,902
124280447001002,269,210,745,163,50,118,77,1134
124449215001002,233,1722,513,154,51,34,12,1063
124479935001002,28,360,511,155,40,99,40,914
124325695001002,131,2284,733,234,40,8,12,19
124516095001002,134,1862,513,16,38,89,26,341
124416383001002,266,1260,300,211,51,119,40,231
124758527001002,153,715,472,227,15,30,12,858
124484991001002,15,1751,561,211,33,41,2,1012
124711999001002,233,246,641,50,17,81,44,951
124608127001002,334,1349,723,211,51,0,12,2039
124716415001002,147,1717,654,169,51,119,12,1350
124897151001002,27,1707,281,101,51,28,12,2015
124776319001002,25,675,513,211,32,23,12,119
124860479001002,81,1337,663,211,36,84,13,482
124908159001002,123,79,733,163,51,119,61,1084
125033535001002,378,427,745,17,36,89,12,1225
124993471001002,250,286,358,52,31,107,80,120
