PanjivaRecordID,Carrier,ConsigneePanjivaID,HSCode,PortOfLading,PortOfUnlading,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
127081149001001,280,1458,701,150,9,28,13,609
126823293001001,426,2563,29,187,35,63,30,0
126805885001001,280,2623,414,148,5,22,7,2281
127476349001001,307,797,350,110,15,43,54,1769
142810237001001,168,850,585,110,37,69,13,1176
127442109001001,280,1780,413,178,15,5,76,2289
127734397001001,280,1368,413,178,15,122,36,1662
127606461001001,418,1686,671,208,36,18,13,1341
127046845001001,47,1609,515,123,40,91,1,1887
126761789001001,23,2009,284,138,60,129,15,366
126754429001001,529,1517,738,208,47,88,13,2005
126866429001001,430,499,588,110,15,43,13,1883
126691517001001,151,2755,87,219,15,43,13,276
126744509001001,417,1758,747,237,48,100,41,2421
127048381001001,56,419,599,161,39,58,13,767
127008061001001,343,1348,735,208,16,11,13,1077
126733757001001,277,2717,453,110,46,98,13,2555
126749821001001,463,2606,738,237,37,88,61,271
126713469001001,5,2129,521,161,37,88,13,2474
126783357001001,218,1376,733,208,8,22,13,2109
126828349001001,497,1223,666,237,48,35,13,416
126776125001001,92,1136,286,48,48,98,13,725
126767805001001,243,104,735,208,8,22,13,1496
126855485001001,168,1848,283,208,48,100,71,1949
126856061001001,168,1166,224,237,3,126,13,1894
126783037001001,130,2214,505,208,38,91,13,526
126774845001001,92,725,679,48,60,129,41,568
126806909001001,544,1828,735,110,11,33,13,21
126777277001001,99,271,294,72,29,88,13,2526
127042237001001,17,1243,743,105,40,91,13,1744
126816317001001,341,917,314,226,27,63,13,702
126899581001001,529,2832,691,208,37,88,43,1904
126917245001001,56,869,294,72,37,30,32,2526
126725053001001,300,1221,610,208,60,129,38,1410
126760829001001,387,2063,313,208,37,88,13,1441
127026749001001,466,2367,294,94,15,43,13,263
126995453001001,304,2519,608,237,60,129,28,759
127039549001001,554,302,470,236,8,72,13,1301
126976189001001,249,1256,371,208,37,88,13,1941
126803197001001,280,1458,284,237,9,93,13,609
126782525001001,511,375,628,208,60,129,13,1319
127171837001001,128,859,666,110,37,126,40,496
126849341001001,130,2214,505,208,60,129,60,526
126852541001001,393,1317,743,123,15,43,13,1447
126861309001001,351,1099,630,208,37,88,13,611
127164733001001,99,2729,284,208,33,88,13,1806
126832957001001,550,12,364,161,42,129,13,377
127134205001001,175,545,743,161,40,91,13,2521
126861757001001,223,591,666,237,60,5,13,2512
126768445001001,82,653,649,114,37,88,13,2378
126835709001001,17,106,507,208,37,64,13,2388
126846653001001,99,1666,657,237,29,100,13,1330
127055997001001,92,1756,610,208,57,98,13,1410
127462013001001,477,1124,735,36,60,129,13,2493
127025661001001,453,1255,747,161,8,22,13,1306
127179133001001,263,1852,747,236,60,129,13,297
127105021001001,427,2367,294,208,14,43,13,263
127621053001001,223,1033,668,93,37,45,13,741
127249597001001,300,526,755,237,37,88,56,359
127253309001001,304,2893,689,48,37,14,3,1347
127641149001001,92,1221,650,208,8,118,13,1410
127315197001001,497,2414,284,48,37,88,25,492
127568317001001,59,15,283,208,37,126,13,630
127577789001001,427,2726,735,143,51,112,13,1496
127011709001001,357,1358,625,26,40,91,26,2349
127583293001001,223,1221,634,208,15,47,13,1410
126978173001001,280,2597,304,208,24,65,13,2517
127349565001001,128,1099,666,26,7,126,13,611
127343101001001,84,2251,518,208,30,30,13,99
126890173001001,380,553,590,208,37,86,55,2027
127137469001001,56,869,599,161,12,22,13,767
126757245001001,550,1964,294,58,37,50,13,2458
127130365001001,35,1103,695,161,48,30,29,1240
126731837001001,304,1348,735,161,37,59,13,2237
126751869001001,497,1223,666,237,37,82,13,416
127119805001001,23,2009,284,96,60,129,13,366
126760509001001,17,560,473,242,40,91,13,227
127398141001001,451,1996,588,161,16,100,13,469
126978813001001,280,1531,402,208,40,120,13,1364
126783933001001,148,1241,436,9,15,43,13,2142
126954493001001,502,1221,610,208,48,100,13,1410
126840765001001,40,1502,278,208,48,6,13,336
127051133001001,205,1266,599,208,46,30,13,458
126933245001001,99,526,755,53,37,88,13,1900
127010557001001,428,1240,659,237,60,129,13,745
126917181001001,56,1722,207,208,4,43,13,616
127045821001001,40,2398,278,161,18,129,13,336
126853949001001,151,2782,294,237,60,60,13,1968
127206461001001,223,2519,628,23,37,88,13,1180
127473149001001,300,1221,610,2,11,33,13,1410
127513597001001,223,1221,634,208,6,88,13,1410
127153533001001,92,1694,634,223,60,129,13,469
127300989001001,175,294,283,161,9,28,13,469
127027965001001,477,1581,515,72,25,43,13,394
126985149001001,296,1717,368,208,26,88,13,2115
127027133001001,496,1982,278,208,60,11,13,336
127325821001001,550,2832,691,48,59,128,13,1904
127062845001001,151,669,747,161,59,128,8,2521
127022077001001,427,2367,294,72,37,85,13,263
127329853001001,134,499,657,110,60,129,13,1667
127004221001001,338,91,735,208,37,127,13,21
127336317001001,27,828,426,211,36,22,13,619
127353021001001,434,2832,691,208,59,128,13,1904
127346749001001,354,1221,585,208,8,22,13,1410
127356413001001,168,670,628,208,40,91,76,1418
127274109001001,332,838,10,236,11,109,13,2319
127020093001001,422,1833,735,111,37,88,13,310
127295485001001,409,636,506,226,8,110,13,2051
127345981001001,397,725,679,48,0,0,13,568
127123773001001,27,828,735,208,54,129,13,137
127116349001001,17,560,473,157,46,98,13,227
127578301001001,83,685,294,161,23,22,13,2165
127347517001001,99,302,757,236,50,109,13,1301
130023933001001,47,366,637,43,59,128,18,1377
127091645001001,304,2898,734,2,17,47,13,730
127247549001001,300,1549,304,94,11,33,13,1136
127439741001001,214,400,407,208,60,129,13,2465
127741309001001,304,2270,759,226,37,58,2,2409
127247869001001,300,1828,735,208,50,37,13,636
127204605001001,223,1239,689,208,37,88,47,1717
127232189001001,279,1256,284,184,50,103,13,1941
127506941001001,27,1221,588,208,52,129,13,1410
127841789001001,92,1090,459,45,37,88,13,308
127530045001001,427,82,735,161,29,28,13,2413
127457469001001,263,1760,546,161,48,100,13,1177
127040637001001,554,749,571,208,8,104,13,748
127268029001001,316,2458,753,104,40,91,13,1692
127279357001001,343,1255,746,110,37,1,13,335
127443901001001,296,1717,362,161,6,129,13,2115
127562237001001,92,2429,459,51,37,88,13,2328
127535165001001,156,2775,278,208,9,28,51,174
127387837001001,338,1728,657,161,9,28,41,1543
127480637001001,314,898,735,208,15,43,13,2517
127421245001001,99,1883,743,138,60,129,4,561
127896317001001,304,1262,752,161,37,88,5,469
127681085001001,217,1021,753,237,59,128,13,2075
